
> fake-arduino-iot@1.0.0 start
> node src/index.js

Fake Arduino at http://localhost:3002
2026-02-24T11:40:02.539Z - GET /temperature
2026-02-24T11:41:03.411Z - GET /temperature
2026-02-24T11:42:02.658Z - GET /temperature
2026-02-24T11:43:02.675Z - GET /temperature
2026-02-24T11:44:02.684Z - GET /temperature
2026-02-24T11:44:55.572Z - GET /temperature
2026-02-24T11:44:55.970Z - GET /temperature
2026-02-24T11:44:56.367Z - GET /temperature
2026-02-24T11:45:02.880Z - GET /temperature
2026-02-24T11:45:05.869Z - GET /temperature
2026-02-24T11:45:06.171Z - GET /temperature
2026-02-24T11:45:06.668Z - GET /temperature
2026-02-24T11:46:02.670Z - GET /temperature
2026-02-24T11:47:02.700Z - GET /temperature
2026-02-24T11:47:53.675Z - GET /temperature
2026-02-24T11:47:53.871Z - GET /temperature
2026-02-24T11:47:54.069Z - GET /temperature
2026-02-24T11:48:02.643Z - GET /temperature
2026-02-24T11:49:02.490Z - GET /temperature
2026-02-24T11:50:02.529Z - GET /temperature
2026-02-24T11:51:02.528Z - GET /temperature
2026-02-24T11:52:02.634Z - GET /temperature
2026-02-24T11:53:02.719Z - GET /temperature
2026-02-24T11:54:02.602Z - GET /temperature
2026-02-24T11:55:02.649Z - GET /temperature
2026-02-24T11:56:02.606Z - GET /temperature
2026-02-24T11:56:36.892Z - GET /temperature
2026-02-24T11:56:37.200Z - GET /temperature
2026-02-24T11:56:37.494Z - GET /temperature
2026-02-24T11:56:37.791Z - GET /temperature
2026-02-24T11:56:44.471Z - GET /temperature
2026-02-24T11:56:45.390Z - GET /temperature
2026-02-24T11:56:47.291Z - GET /temperature
2026-02-24T11:56:47.400Z - GET /temperature
2026-02-24T11:56:47.737Z - GET /temperature
2026-02-24T11:56:57.118Z - GET /temperature
2026-02-24T11:56:57.320Z - GET /temperature
2026-02-24T11:56:57.595Z - GET /temperature
2026-02-24T11:57:02.563Z - GET /temperature
2026-02-24T11:57:08.094Z - GET /temperature
2026-02-24T11:57:08.493Z - GET /temperature
2026-02-24T11:57:08.795Z - GET /temperature
