Fake Arduino at http://localhost:3002
2026-03-04T14:26:08.222Z - GET /temperature
2026-03-04T14:27:07.848Z - GET /temperature
2026-03-04T14:28:07.740Z - GET /temperature
2026-03-04T14:29:18.678Z - GET /temperature
2026-03-04T14:30:14.124Z - GET /temperature
2026-03-04T14:31:10.782Z - GET /temperature
2026-03-04T14:32:07.393Z - GET /temperature
2026-03-04T14:33:09.847Z - GET /temperature
2026-03-04T14:34:05.009Z - GET /temperature
2026-03-04T14:35:10.971Z - GET /temperature
2026-03-04T14:36:12.942Z - GET /temperature
2026-03-04T14:37:11.481Z - GET /temperature
2026-03-04T14:38:09.875Z - GET /temperature
2026-03-04T14:39:09.837Z - GET /temperature
2026-03-04T14:40:09.240Z - GET /temperature
2026-03-04T14:41:06.485Z - GET /temperature
2026-03-04T14:42:13.174Z - GET /temperature
2026-03-04T14:43:02.629Z - GET /temperature
2026-03-04T14:44:06.872Z - GET /temperature
2026-03-04T14:45:05.636Z - GET /temperature
2026-03-04T14:46:10.872Z - GET /temperature
2026-03-04T14:47:11.163Z - GET /temperature
2026-03-04T14:48:06.517Z - GET /temperature
2026-03-04T14:49:04.724Z - GET /temperature
2026-03-04T14:50:06.357Z - GET /temperature
2026-03-04T14:51:06.135Z - GET /temperature
2026-03-04T14:53:24.857Z - GET /temperature
2026-03-04T14:55:01.852Z - GET /temperature
2026-03-04T14:57:16.890Z - GET /temperature
2026-03-04T14:57:21.110Z - GET /temperature
2026-03-04T14:57:22.833Z - GET /temperature
2026-03-04T14:57:23.522Z - GET /temperature
